density,architecture,repetition,absorbedPAR_umol_m2_s1,absorbedPAR_umol_m2_s1_crop,absorbedPAR_umol_m2_s1_crop%
Low,A-Gradient45-90,51,35.74825001536055,237.30374998463947,86.90789665874613
Low,A-Gradient45-90,62,39.48362555937539,233.56837444062464,85.53988780181966
Low,A-Gradient45-90,76,37.10178274693591,235.95021725306407,86.41219154339251
Low,B-Gradient90-45,66,39.8214212064451,233.2305787935549,85.4161766965834
Low,B-Gradient90-45,93,47.15531256636773,225.89668743363228,82.73028120417806
Low,C-Uniform90,28,29.725429780618573,243.32657021938144,89.11363777572822
Low,C-Uniform90,91,29.649019920570595,243.40298007942943,89.14162140523761
Low,D-Uniform70,93,36.891056759188885,236.16094324081115,86.48936585002532
Low,E-Uniform50,90,50.65126656281725,222.4007334371828,81.44995584620612
Low,control,100,35.43557262781333,237.6164273721867,87.02240868852331
Low,control,33,36.07505979485577,236.97694020514425,86.78820891447205
Low,control,95,35.07063545789348,237.98136454210652,87.15605985017744
